,Year,HH_LGA_ID,HH_LGA_NAME,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE (km),TRIP_AVG_TIME (mins)
21,2023,1300,Burwood,walk linked*,27000,12.9,,16000,1.1,0.6,11.3
22,2023,1300,Burwood,walk only*,33000,15.9,18.2,19000,1.3,0.6,11.8
23,2023,1450,Camden,other**,5000,1.2,1.3,6000,0.1,1.1,5.0
24,2023,1450,Camden,public transport**,33000,7.9,8.5,516000,12.9,15.8,30.5
25,2023,1450,Camden,vehicle driver,200000,48.4,51.9,2525000,63.3,12.6,19.9
26,2023,1450,Camden,vehicle passenger,118000,28.5,30.6,894000,22.4,7.6,12.7
27,2023,1450,Camden,walk linked**,28000,6.9,,17000,0.4,0.6,8.0
28,2023,1450,Camden,walk only*,29000,7.1,7.6,30000,0.8,1.0,16.7
29,2023,1500,Campbelltown,other**,1000,0.2,0.2,12000,0.2,11.4,25.0
30,2023,1500,Campbelltown,public transport*,28000,5.2,5.5,484000,9.4,17.4,27.9
31,2023,1500,Campbelltown,vehicle driver,278000,52.4,55.4,3483000,67.9,12.5,20.8
32,2023,1500,Campbelltown,vehicle passenger,139000,26.2,27.6,1100000,21.4,7.9,15.4
33,2023,1500,Campbelltown,walk linked,28000,5.3,,15000,0.3,0.5,9.0
34,2023,1500,Campbelltown,walk only*,56000,10.6,11.2,37000,0.7,0.7,14.8
35,2023,1520,Canada Bay,other*,12000,2.7,3.3,56000,2.7,4.7,15.3
36,2023,1520,Canada Bay,public transport*,57000,12.9,15.5,398000,19.1,7.0,17.6
37,2023,1520,Canada Bay,vehicle driver,156000,35.4,42.6,1275000,61.1,8.2,19.8
38,2023,1520,Canada Bay,vehicle passenger,57000,12.9,15.5,254000,12.2,4.5,14.7
39,2023,1520,Canada Bay,walk linked,74000,16.9,,39000,1.9,0.5,8.2
40,2023,1520,Canada Bay,walk only,84000,19.2,23.1,63000,3.0,0.7,11.6
41,2023,1570,Canterbury-Bankstown,other*,8000,0.8,0.9,43000,0.6,5.2,15.1
42,2023,1570,Canterbury-Bankstown,public transport,106000,10.5,12.1,1167000,16.5,11.0,24.5
43,2023,1570,Canterbury-Bankstown,vehicle driver,459000,45.6,52.5,4474000,63.3,9.7,21.4
44,2023,1570,Canterbury-Bankstown,vehicle passenger,184000,18.2,21.0,1222000,17.3,6.7,18.0
45,2023,1570,Canterbury-Bankstown,walk linked,133000,13.2,,72000,1.0,0.5,8.7
46,2023,1570,Canterbury-Bankstown,walk only,117000,11.6,13.4,90000,1.3,0.8,12.2
47,2023,1650,Central Coast,other*,37000,2.6,2.9,137000,0.9,3.7,16.5
48,2023,1650,Central Coast,public transport,101000,7.3,7.9,2156000,14.7,21.3,32.6
49,2023,1650,Central Coast,vehicle driver,725000,51.9,56.4,9124000,62.1,12.6,18.5
50,2023,1650,Central Coast,vehicle passenger,295000,21.2,23.0,3106000,21.1,10.5,16.6
51,2023,1650,Central Coast,walk linked,111000,7.9,,75000,0.5,0.7,9.5
52,2023,1650,Central Coast,walk only,127000,9.1,9.9,98000,0.7,0.8,12.8
53,2023,1720,Cessnock,public transport*,4000,2.5,2.6,56000,2.7,12.5,23.1
54,2023,1720,Cessnock,vehicle driver,113000,64.7,65.3,1571000,77.4,13.9,18.8
55,2023,1720,Cessnock,vehicle passenger,39000,22.5,22.7,394000,19.4,10.0,15.7
56,2023,1720,Cessnock,walk linked**,2000,0.9,,1000,0.0,0.5,10.7
57,2023,1720,Cessnock,walk only*,16000,9.3,9.4,10000,0.5,0.6,7.4
58,2023,2380,Cumberland,other*,9000,1.0,1.2,54000,0.9,6.2,25.5
59,2023,2380,Cumberland,public transport,48000,5.7,6.3,660000,11.0,13.8,26.0
60,2023,2380,Cumberland,vehicle driver,398000,47.0,52.2,3690000,61.6,9.3,20.2
61,2023,2380,Cumberland,vehicle passenger,209000,24.7,27.4,1459000,24.4,7.0,16.6
62,2023,2380,Cumberland,walk linked,84000,9.9,,51000,0.8,0.6,10.1
63,2023,2380,Cumberland,walk only,99000,11.7,13.0,76000,1.3,0.8,15.0
64,2023,2700,Dungog,public transport**,2000,4.4,4.8,22000,5.9,14.3,15.1
65,2023,2700,Dungog,vehicle driver,19000,54.8,59.7,312000,82.3,16.1,20.3
66,2023,2700,Dungog,vehicle passenger*,8000,22.5,24.5,41000,10.8,5.2,9.5
67,2023,2700,Dungog,walk linked**,3000,8.2,,3000,0.8,1.0,14.2
68,2023,2700,Dungog,walk only**,4000,10.1,11.0,1000,0.2,0.3,6.7
69,2023,2850,Fairfield,public transport*,17000,4.0,4.2,243000,8.4,14.7,34.0
70,2023,2850,Fairfield,vehicle driver,239000,56.8,60.2,1988000,68.7,8.3,17.8
71,2023,2850,Fairfield,vehicle passenger*,83000,19.8,21.0,599000,20.7,7.2,16.1
72,2023,2850,Fairfield,walk linked*,24000,5.6,,17000,0.6,0.7,11.1
73,2023,2850,Fairfield,walk only,58000,13.8,14.6,46000,1.6,0.8,11.6
74,2023,2930,Georges River,other**,8000,1.2,1.4,93000,2.1,11.6,20.0
75,2023,2930,Georges River,public transport,86000,12.4,14.9,999000,22.1,11.6,22.3
76,2023,2930,Georges River,vehicle driver,273000,39.4,47.3,2437000,53.9,8.9,19.0
77,2023,2930,Georges River,vehicle passenger,132000,19.1,22.9,835000,18.5,6.3,15.5
78,2023,2930,Georges River,walk linked,115000,16.6,,85000,1.9,0.7,10.4
79,2023,2930,Georges River,walk only,78000,11.2,13.4,69000,1.5,0.9,12.6
80,2023,3800,Hawkesbury,other**,1000,0.5,0.5,10000,0.3,9.0,51.0
81,2023,3800,Hawkesbury,public transport**,7000,2.9,3.0,107000,2.8,15.8,26.8
82,2023,3800,Hawkesbury,vehicle driver,149000,64.2,65.5,2752000,71.9,18.5,28.9
83,2023,3800,Hawkesbury,vehicle passenger,56000,24.3,24.8,942000,24.6,16.7,26.2
84,2023,3800,Hawkesbury,walk linked*,5000,2.0,,3000,0.1,0.5,8.0
85,2023,3800,Hawkesbury,walk only*,14000,6.1,6.2,11000,0.3,0.8,8.7
86,2023,4000,Hornsby,other*,7000,1.0,1.1,37000,0.7,5.2,21.0
87,2023,4000,Hornsby,public transport,74000,10.2,11.8,993000,18.6,13.4,23.8
88,2023,4000,Hornsby,vehicle driver,308000,42.5,49.0,3005000,56.2,9.8,18.6
89,2023,4000,Hornsby,vehicle passenger,143000,19.7,22.7,1162000,21.7,8.1,15.9
90,2023,4000,Hornsby,walk linked,96000,13.2,,64000,1.2,0.7,9.4
91,2023,4000,Hornsby,walk only,96000,13.3,15.3,84000,1.6,0.9,13.8
92,2023,4100,Hunters Hill,other**,1000,1.2,1.5,9000,4.0,14.8,28.0
93,2023,4100,Hunters Hill,public transport*,6000,11.1,13.6,50000,21.5,8.8,22.8
94,2023,4100,Hunters Hill,vehicle driver,23000,45.6,55.9,136000,58.7,5.8,16.6
95,2023,4100,Hunters Hill,vehicle passenger*,5000,10.0,12.3,26000,11.1,5.0,13.5
96,2023,4100,Hunters Hill,walk linked*,10000,18.5,,6000,2.6,0.6,10.2
97,2023,4100,Hunters Hill,walk only*,7000,13.5,16.6,5000,2.2,0.8,15.1
98,2023,4170,Inner West,other,30000,2.9,3.5,151000,3.4,5.1,19.7
99,2023,4170,Inner West,public transport,109000,10.7,13.0,729000,16.3,6.7,19.4
100,2023,4170,Inner West,vehicle driver,291000,28.4,34.6,2179000,48.7,7.5,18.1
101,2023,4170,Inner West,vehicle passenger,136000,13.3,16.2,1077000,24.1,7.9,17.5
102,2023,4170,Inner West,walk linked,185000,18.0,,122000,2.7,0.7,9.5
103,2023,4170,Inner West,walk only,274000,26.8,32.7,218000,4.9,0.8,12.8
104,2023,4400,Kiama,other**,1000,1.2,1.3,3000,0.4,3.3,22.8
105,2023,4400,Kiama,public transport**,3000,3.6,3.8,44000,5.1,15.2,23.4
106,2023,4400,Kiama,vehicle driver,43000,53.9,57.5,636000,75.2,14.7,17.7
